City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,21.45,45,0,4.63,US,-14400
1,padang,-0.9492,100.3543,26.03,90,100,1.75,ID,25200
2,stanley,54.868,-1.6985,9.39,92,40,4.63,GB,3600
3,mount gambier,-37.8333,140.7667,5.5,87,5,1.42,AU,34200
4,iqaluit,63.7506,-68.5145,1.5,100,100,2.57,CA,-14400
5,thinadhoo,0.5333,72.9333,28.87,72,8,3.57,MV,18000
6,saguenay,48.4168,-71.0657,13.54,59,75,7.72,CA,-14400
7,kotabumi,-4.8333,104.9,23.9,95,34,1.29,ID,25200
8,enewetak,11.3474,162.3373,28.06,74,55,7.36,MH,43200
9,blackmans bay,-43.0167,147.3167,7.6,85,100,0.45,AU,36000
10,sisimiut,66.9395,-53.6735,9.94,62,68,1.23,GL,-3600
11,adamstown,-25.066,-130.1015,21.2,56,56,2.49,PN,-28800
12,bredasdorp,-34.5322,20.0403,12.19,94,17,2.4,ZA,7200
13,atherton,53.5237,-2.4935,12.99,78,26,1.79,GB,3600
14,grytviken,-54.2811,-36.5092,-4.18,76,17,7.28,GS,-7200
15,piti village,13.4626,144.6933,28.06,85,20,4.12,GU,36000
16,margaret river,-33.95,115.0667,15.1,84,30,3.06,AU,28800
17,egilsstadir,65.2653,-14.3948,10.95,71,20,5.66,IS,0
18,hami,42.8,93.45,27.18,29,100,0.66,CN,28800
19,eyl,7.9803,49.8164,26.63,80,100,9.05,SO,10800
20,horta,38.5333,-28.6333,22.23,79,20,6.71,PT,0
21,dudinka,69.4058,86.1778,5.9,91,41,3.71,RU,25200
22,atlantis,-33.5667,18.4834,14.3,80,0,3.36,ZA,7200
23,hermanus,-34.4187,19.2345,13.22,89,5,4.58,ZA,7200
24,woolgoolga,-30.1106,153.2007,12.93,65,100,7.69,AU,36000
25,luderitz,-26.6481,15.1594,20.61,35,36,2.8,NA,7200
26,bintulu,3.1667,113.0333,25.23,94,40,0.51,MY,28800
27,burao,9.5221,45.5336,25.5,46,14,7.24,SO,10800
28,bethel,41.3712,-73.414,24.24,45,0,4.12,US,-14400
29,madang,-5.2246,145.7966,25.02,90,59,1.17,PG,36000
30,tiksi,71.6872,128.8694,6.66,70,100,1.74,RU,32400
31,ta`u,-14.2336,-169.5144,27.57,82,72,9.84,AS,-39600
32,saldanha,-33.0117,17.9442,13.03,79,11,4.39,ZA,7200
33,lihue,21.9789,-159.3672,25.82,73,0,8.75,US,-36000
34,port mathurin,-19.6833,63.4167,24.05,73,20,7.2,MU,14400
35,constantia,44.1833,28.65,22.38,69,0,3.2,RO,10800
36,smithers,54.7804,-127.1743,9.18,93,100,3.6,CA,-25200
37,kailua-kona,19.6406,-155.9956,24.69,88,75,1.54,US,-36000
38,polyarnyy,69.1989,33.4478,12.68,75,100,3.98,RU,10800
39,georgetown,5.4112,100.3354,27.97,78,20,1.03,MY,28800
40,santa ana,33.7456,-117.8678,26.38,60,20,3.6,US,-25200
41,saurimo,-9.6608,20.3916,16.06,30,8,1.92,AO,3600
42,el porvenir,13.7617,-87.3458,29.63,90,99,1.88,HN,-21600
43,cabo san lucas,22.8909,-109.9124,26.23,68,0,3.58,MX,-25200
44,hadibu,12.65,54.0333,27.65,75,0,5.79,YE,10800
45,taltal,-25.4,-70.4833,17.68,70,1,2.03,CL,-14400
46,san antonio de pale,-1.4014,5.6325,24.78,83,61,5.59,GQ,3600
47,yellowknife,62.456,-114.3525,15.24,55,75,4.12,CA,-21600
48,balkanabat,39.5108,54.3671,28.31,36,4,1.09,TM,18000
49,ust'-ilimsk,58.0006,102.6619,13.46,47,100,1.34,RU,28800
50,puerto natales,-51.7236,-72.4875,0.25,93,75,5.14,CL,-10800
51,ilulissat,69.2167,-51.1,9.01,57,75,3.6,GL,-3600
52,pimentel,-6.8367,-79.9342,23.16,64,0,5.66,PE,-18000
53,laojunmiao,39.8333,97.7333,18.22,40,82,1.07,CN,28800
54,ust-nera,64.5667,143.2,15.29,57,17,1.78,RU,36000
